fix_id,tag.local.identifier,species,animal,date,start_datetime,stop_datetime,num_fixes,length_sec,start_time,stop_time
1395,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:25:41,2023-07-02 08:25:41,1,0,2024-03-22 08:25:41,2024-03-22 08:25:41
1396,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:27:10,2023-07-02 08:27:10,1,0,2024-03-22 08:27:10,2024-03-22 08:27:10
1397,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:28:43,2023-07-02 08:28:43,1,0,2024-03-22 08:28:43,2024-03-22 08:28:43
1398,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:30:12,2023-07-02 08:30:12,1,0,2024-03-22 08:30:12,2024-03-22 08:30:12
1399,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:31:44,2023-07-02 08:31:44,1,0,2024-03-22 08:31:44,2024-03-22 08:31:44
1400,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:33:12,2023-07-02 08:33:12,1,0,2024-03-22 08:33:12,2024-03-22 08:33:12
1401,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:34:44,2023-07-02 08:34:44,1,0,2024-03-22 08:34:44,2024-03-22 08:34:44
1402,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:36:12,2023-07-02 08:36:12,1,0,2024-03-22 08:36:12,2024-03-22 08:36:12
1403,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:37:41,2023-07-02 08:37:41,1,0,2024-03-22 08:37:41,2024-03-22 08:37:41
1404,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:39:11,2023-07-02 08:39:11,1,0,2024-03-22 08:39:11,2024-03-22 08:39:11
1405,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:40:46,2023-07-02 08:40:46,1,0,2024-03-22 08:40:46,2024-03-22 08:40:46
1406,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:42:18,2023-07-02 08:42:18,1,0,2024-03-22 08:42:18,2024-03-22 08:42:18
1407,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:43:44,2023-07-02 08:43:44,1,0,2024-03-22 08:43:44,2024-03-22 08:43:44
1408,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:45:21,2023-07-02 08:45:21,1,0,2024-03-22 08:45:21,2024-03-22 08:45:21
1409,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:46:41,2023-07-02 08:46:41,1,0,2024-03-22 08:46:41,2024-03-22 08:46:41
1410,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:48:12,2023-07-02 08:48:12,1,0,2024-03-22 08:48:12,2024-03-22 08:48:12
1411,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:49:40,2023-07-02 08:49:40,1,0,2024-03-22 08:49:40,2024-03-22 08:49:40
1412,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:51:15,2023-07-02 08:51:15,1,0,2024-03-22 08:51:15,2024-03-22 08:51:15
1413,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:52:39,2023-07-02 08:52:39,1,0,2024-03-22 08:52:39,2024-03-22 08:52:39
1414,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:54:09,2023-07-02 08:54:09,1,0,2024-03-22 08:54:09,2024-03-22 08:54:09
1415,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:55:38,2023-07-02 08:55:38,1,0,2024-03-22 08:55:38,2024-03-22 08:55:38
1416,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:57:09,2023-07-02 08:57:09,1,0,2024-03-22 08:57:09,2024-03-22 08:57:09
1417,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 08:58:40,2023-07-02 08:58:40,1,0,2024-03-22 08:58:40,2024-03-22 08:58:40
1418,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:00:10,2023-07-02 09:00:10,1,0,2024-03-22 09:00:10,2024-03-22 09:00:10
1419,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:01:39,2023-07-02 09:01:39,1,0,2024-03-22 09:01:39,2024-03-22 09:01:39
1420,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:03:09,2023-07-02 09:03:09,1,0,2024-03-22 09:03:09,2024-03-22 09:03:09
1421,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:04:41,2023-07-02 09:04:41,1,0,2024-03-22 09:04:41,2024-03-22 09:04:41
1422,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:06:10,2023-07-02 09:06:10,1,0,2024-03-22 09:06:10,2024-03-22 09:06:10
1423,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:07:41,2023-07-02 09:07:41,1,0,2024-03-22 09:07:41,2024-03-22 09:07:41
1424,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:09:11,2023-07-02 09:09:11,1,0,2024-03-22 09:09:11,2024-03-22 09:09:11
1425,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:10:43,2023-07-02 09:10:43,1,0,2024-03-22 09:10:43,2024-03-22 09:10:43
1426,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:12:13,2023-07-02 09:12:13,1,0,2024-03-22 09:12:13,2024-03-22 09:12:13
1427,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:13:42,2023-07-02 09:13:42,1,0,2024-03-22 09:13:42,2024-03-22 09:13:42
1428,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:15:10,2023-07-02 09:15:10,1,0,2024-03-22 09:15:10,2024-03-22 09:15:10
1429,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:16:40,2023-07-02 09:16:40,1,0,2024-03-22 09:16:40,2024-03-22 09:16:40
1430,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:18:11,2023-07-02 09:18:11,1,0,2024-03-22 09:18:11,2024-03-22 09:18:11
1431,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:19:41,2023-07-02 09:19:41,1,0,2024-03-22 09:19:41,2024-03-22 09:19:41
1432,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:21:12,2023-07-02 09:21:12,1,0,2024-03-22 09:21:12,2024-03-22 09:21:12
1433,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:22:42,2023-07-02 09:22:42,1,0,2024-03-22 09:22:42,2024-03-22 09:22:42
1434,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:24:10,2023-07-02 09:24:10,1,0,2024-03-22 09:24:10,2024-03-22 09:24:10
1435,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:25:40,2023-07-02 09:25:40,1,0,2024-03-22 09:25:40,2024-03-22 09:25:40
1436,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:27:10,2023-07-02 09:27:10,1,0,2024-03-22 09:27:10,2024-03-22 09:27:10
1437,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:28:43,2023-07-02 09:28:43,1,0,2024-03-22 09:28:43,2024-03-22 09:28:43
1438,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:30:12,2023-07-02 09:30:12,1,0,2024-03-22 09:30:12,2024-03-22 09:30:12
1439,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:31:41,2023-07-02 09:31:41,1,0,2024-03-22 09:31:41,2024-03-22 09:31:41
1440,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:33:13,2023-07-02 09:33:13,1,0,2024-03-22 09:33:13,2024-03-22 09:33:13
1441,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:34:43,2023-07-02 09:34:43,1,0,2024-03-22 09:34:43,2024-03-22 09:34:43
1442,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:36:12,2023-07-02 09:36:12,1,0,2024-03-22 09:36:12,2024-03-22 09:36:12
1443,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:37:46,2023-07-02 09:37:46,1,0,2024-03-22 09:37:46,2024-03-22 09:37:46
1444,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:39:10,2023-07-02 09:39:10,1,0,2024-03-22 09:39:10,2024-03-22 09:39:10
1445,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:40:40,2023-07-02 09:40:40,1,0,2024-03-22 09:40:40,2024-03-22 09:40:40
1446,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:42:08,2023-07-02 09:42:08,1,0,2024-03-22 09:42:08,2024-03-22 09:42:08
1447,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:43:41,2023-07-02 09:43:41,1,0,2024-03-22 09:43:41,2024-03-22 09:43:41
1448,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:45:19,2023-07-02 09:45:19,1,0,2024-03-22 09:45:19,2024-03-22 09:45:19
1449,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:46:40,2023-07-02 09:46:40,1,0,2024-03-22 09:46:40,2024-03-22 09:46:40
1450,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:48:10,2023-07-02 09:48:10,1,0,2024-03-22 09:48:10,2024-03-22 09:48:10
1451,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:49:39,2023-07-02 09:49:39,1,0,2024-03-22 09:49:39,2024-03-22 09:49:39
1452,9437,Homo sapiens,TEST,2023-07-02,2023-07-02 09:51:11,2023-07-02 09:51:11,1,0,2024-03-22 09:51:11,2024-03-22 09:51:11
