"","individual.local.identifier","tag.local.identifier","study.local.timestamp","date"
"351","TEST",9437,2023-07-02 02:15:10,2023-07-02
"352","TEST",9437,2023-07-02 02:30:13,2023-07-02
"353","TEST",9437,2023-07-02 02:45:13,2023-07-02
"354","TEST",9437,2023-07-02 03:00:41,2023-07-02
"355","TEST",9437,2023-07-02 03:15:47,2023-07-02
"356","TEST",9437,2023-07-02 03:30:10,2023-07-02
"357","TEST",9437,2023-07-02 03:45:10,2023-07-02
"358","TEST",9437,2023-07-02 04:00:07,2023-07-02
"359","TEST",9437,2023-07-02 04:15:09,2023-07-02
"360","TEST",9437,2023-07-02 04:30:10,2023-07-02
"361","TEST",9437,2023-07-02 04:45:18,2023-07-02
"362","TEST",9437,2023-07-02 05:00:26,2023-07-02
"363","TEST",9437,2023-07-02 05:15:17,2023-07-02
"364","TEST",9437,2023-07-02 05:30:14,2023-07-02
"365","TEST",9437,2023-07-02 05:45:13,2023-07-02
"366","TEST",9437,2023-07-02 06:01:11,2023-07-02
"367","TEST",9437,2023-07-02 06:15:08,2023-07-02
"368","TEST",9437,2023-07-02 06:30:07,2023-07-02
"369","TEST",9437,2023-07-02 06:45:09,2023-07-02
"370","TEST",9437,2023-07-02 07:00:42,2023-07-02
"371","TEST",9437,2023-07-02 07:01:51,2023-07-02
"372","TEST",9437,2023-07-02 07:03:11,2023-07-02
"373","TEST",9437,2023-07-02 07:04:41,2023-07-02
"374","TEST",9437,2023-07-02 07:06:11,2023-07-02
"375","TEST",9437,2023-07-02 07:07:48,2023-07-02
"376","TEST",9437,2023-07-02 07:09:22,2023-07-02
"377","TEST",9437,2023-07-02 07:10:44,2023-07-02
"378","TEST",9437,2023-07-02 07:12:10,2023-07-02
"379","TEST",9437,2023-07-02 07:13:39,2023-07-02
"380","TEST",9437,2023-07-02 07:15:09,2023-07-02
"381","TEST",9437,2023-07-02 07:16:40,2023-07-02
"382","TEST",9437,2023-07-02 07:18:09,2023-07-02
"383","TEST",9437,2023-07-02 07:19:39,2023-07-02
"384","TEST",9437,2023-07-02 07:21:12,2023-07-02
"385","TEST",9437,2023-07-02 07:22:39,2023-07-02
"386","TEST",9437,2023-07-02 07:24:13,2023-07-02
"387","TEST",9437,2023-07-02 07:26:14,2023-07-02
"388","TEST",9437,2023-07-02 07:27:09,2023-07-02
"389","TEST",9437,2023-07-02 07:28:42,2023-07-02
"390","TEST",9437,2023-07-02 07:30:17,2023-07-02
"391","TEST",9437,2023-07-02 07:31:39,2023-07-02
"392","TEST",9437,2023-07-02 07:33:11,2023-07-02
"393","TEST",9437,2023-07-02 07:34:42,2023-07-02
"394","TEST",9437,2023-07-02 07:36:12,2023-07-02
"395","TEST",9437,2023-07-02 07:37:38,2023-07-02
"396","TEST",9437,2023-07-02 07:39:09,2023-07-02
"397","TEST",9437,2023-07-02 07:40:36,2023-07-02
"398","TEST",9437,2023-07-02 07:42:12,2023-07-02
"399","TEST",9437,2023-07-02 07:43:39,2023-07-02
"400","TEST",9437,2023-07-02 07:45:07,2023-07-02
"401","TEST",9437,2023-07-02 07:46:36,2023-07-02
